연도,양파,돼지고기,밀가루,자장면
1975,226.98986,169.89552,132.26424,150.3433
1976,266.64494,221.34576,140.59008,165.87635
1977,202.42014,228.2952,137.5662,211.8521
1978,424.63048,306.89296,135.07116,222.19015
1979,422.83816,296.50944,142.42068,302.50485
1980,550.09288,347.79712,212.13264,378.9233
1981,882.3442,583.46848,273.6408,512.07115
1982,747.47212,586.1304,266.9964,574.09945
1983,457.6017,539.84144,249.44976,572.22925
1984,971.4001,460.87792,246.75132,618.56865
1985,916.06222,571.05296,258.87396,668.96015
1986,713.5674,625.0432,275.90532,700.3899
1987,627.05062,519.684,265.07088,733.68985
1988,672.3067,509.016,259.63332,824.8621
1989,723.76122,484.10368,282.15648,975.67295
1990,1126.58514,684.76368,310.10364,1180.45985
1991,1515.21986,819.01792,316.66668,1429.19645
1992,754.60406,690.49392,341.88828,1596.26765
1993,869.0885,671.39312,355.3398,1726.14265
1994,1924.98902,695.73648,356.07204,1903.6558
1995,1142.86538,679.76496,366.14712,2029.167
1996,1407.30726,642.3152,443.6832,2205.84895
1997,1535.12208,711.5048,477.7188,2335.3603
1998,1542.62742,743.85424,716.97144,2663.5804
1999,1627.42656,770.75792,593.53476,2569.39505
2000,1684.29538,799.55136,560.35344,2605.9159
2001,1511.78458,867.5624,596.301,2638.48855
2002,1458.8738,941.324,624.8448,2794.1827
2003,2686.87438,966.29728,706.59804,3086.50535
2004,2193.79968,1216.41616,779.33388,3159.02755
2005,2060.15982,1289.2024,822.25128,3172.3787
2006,2439.08614,1306.49472,845.00496,3214.1465
2007,2225.16528,1247.40416,921.56472,3334.151
2008,2333.82468,1461.6176,1474.40592,3770.27125
2009,2717.0451,1587.41872,1347.28092,3836.35165
2010,2798.67034,1491.12224,1151.8542,3884.1976
2011,2656.40494,1909.69392,1212.52164,4155.74025
2012,2840.00572,1650.5936,1221.91872,4204.98885
2013,4111.47006,1543.1008,1342.20948,4278.23835
2014,2425.68108,1788.70864,1375.97388,4332.47415
2015,3248.9534,1854.22032,1363.76988,4452.27085
2016,3477.99696,1866.20912,1349.00304,4577.2106
2017,3747.40506,1981.64704,1333.65312,4723.96935
2018,3019.16304,1909.69392,1347.83688,4934.3149
2019,2567.05032,1835.11952,1370.56344,5121.69855
2020,3734,2032,1356,5195
2021,3866.9304,2257.7552,1365.0852,5354.4865
2022,3525.6428,2440.2288,1746.9348,5932.69
