연도,양파,돼지고기,밀가루,자장면,양파 가격,돼지고기 가격,밀가루 가격,자장면 가격
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
,,,,,,,,
1975,6.079,8.361,9.754,2.894,226.99,169.896,132.264,150.343
1976,7.141,10.893,10.368,3.193,266.645,221.346,140.59,165.876
1977,5.421,11.235,10.145,4.078,202.42,228.295,137.566,211.852
1978,11.372,15.103,9.961,4.277,424.63,306.893,135.071,222.19
1979,11.324,14.592,10.503,5.823,422.838,296.509,142.421,302.505
1980,14.732,17.116,15.644,7.294,550.093,347.797,212.133,378.923
1981,23.630,28.714,20.180,9.857,882.344,583.468,273.641,512.071
1982,20.018,28.845,19.690,11.051,747.472,586.13,266.996,574.099
1983,12.255,26.567,18.396,11.015,457.602,539.841,249.45,572.229
1984,26.015,22.681,18.197,11.907,971.4,460.878,246.751,618.569
1985,24.533,28.103,19.091,12.877,916.062,571.053,258.874,668.96
1986,19.110,30.760,20.347,13.482,713.567,625.043,275.905,700.39
1987,16.793,25.575,19.548,14.123,627.051,519.684,265.071,733.69
1988,18.005,25.050,19.147,15.878,672.307,509.016,259.633,824.862
1989,19.383,23.824,20.808,18.781,723.761,484.104,282.156,975.673
1990,30.171,33.699,22.869,22.723,1126.59,684.764,310.104,1180.46
1991,40.579,40.306,23.353,27.511,1515.22,819.018,316.667,1429.2
1992,20.209,33.981,25.213,30.727,754.604,690.494,341.888,1596.27
1993,23.275,33.041,26.205,33.227,869.088,671.393,355.34,1726.14
1994,51.553,34.239,26.259,36.644,1924.99,695.736,356.072,1903.66
1995,30.607,33.453,27.002,39.060,1142.87,679.765,366.147,2029.17
1996,37.689,31.610,32.720,42.461,1407.31,642.315,443.683,2205.85
1997,41.112,35.015,35.230,44.954,1535.12,711.505,477.719,2335.36
1998,41.313,36.607,52.874,51.272,1542.63,743.854,716.971,2663.58
1999,43.584,37.931,43.771,49.459,1627.43,770.758,593.535,2569.4
2000,45.107,39.348,41.324,50.162,1684.3,799.551,560.353,2605.92
2001,40.487,42.695,43.975,50.789,1511.78,867.562,596.301,2638.49
2002,39.070,46.325,46.080,53.786,1458.87,941.324,624.845,2794.18
2003,71.957,47.554,52.109,59.413,2686.87,966.297,706.598,3086.51
2004,58.752,59.863,57.473,60.809,2193.8,1216.42,779.334,3159.03
2005,55.173,63.445,60.638,61.066,2060.16,1289.2,822.251,3172.38
2006,65.321,64.296,62.316,61.870,2439.09,1306.49,845.005,3214.15
2007,59.592,61.388,67.962,64.180,2225.17,1247.4,921.565,3334.15
2008,62.502,71.930,108.732,72.575,2333.82,1461.62,1474.41,3770.27
2009,72.765,78.121,99.357,73.847,2717.05,1587.42,1347.28,3836.35
2010,74.951,73.382,84.945,74.768,2798.67,1491.12,1151.85,3884.2
2011,71.141,93.981,89.419,79.995,2656.4,1909.69,1212.52,4155.74
2012,76.058,81.230,90.112,80.943,2840.01,1650.59,1221.92,4204.99
2013,110.109,75.940,98.983,82.353,4111.47,1543.1,1342.21,4278.24
2014,64.962,88.027,101.473,83.397,2425.68,1788.71,1375.97,4332.47
2015,87.010,91.251,100.573,85.703,3248.95,1854.22,1363.77,4452.27
2016,93.144,91.841,99.484,88.108,3478,1866.21,1349,4577.21
2017,100.359,97.522,98.352,90.933,3747.41,1981.65,1333.65,4723.97
2018,80.856,93.981,99.398,94.982,3019.16,1909.69,1347.84,4934.31
2019,68.748,90.311,101.074,98.589,2567.05,1835.12,1370.56,5121.7
2020,100.000,100.000,100.000,100.000,3734,2032,1356,5195
2021,103.560,111.110,100.670,103.070,3866.93,2257.76,1365.09,5354.49
2022,94.420,120.090,128.830,114.200,3525.64,2440.23,1746.93,5932.69
